name,label
ch-minute-barchart-0.png,3
ch-minute-barchart-1.png,1
ch-minute-barchart-2.png,3
ch-minute-barchart-3.png,3
ch-minute-barchart-4.png,1
ch-minute-barchart-5.png,0
ch-minute-barchart-6.png,0
ch-minute-barchart-7.png,1
ch-minute-barchart-8.png,3
ch-minute-barchart-10.png,3
ch-minute-barchart-11.png,1
ch-minute-barchart-12.png,0
ch-minute-barchart-13.png,0
ch-minute-barchart-14.png,0
ch-minute-barchart-15.png,1
ch-minute-barchart-16.png,3
ch-minute-barchart-17.png,3
ch-minute-barchart-18.png,3
ch-minute-barchart-20.png,1
ch-minute-barchart-21.png,2
ch-minute-barchart-22.png,0
ch-minute-barchart-23.png,0
ch-minute-barchart-24.png,1
ch-minute-barchart-25.png,0
ch-minute-barchart-26.png,3
ch-minute-barchart-27.png,3
ch-minute-barchart-28.png,0
ch-minute-barchart-30.png,3
ch-minute-barchart-31.png,3
ch-minute-barchart-32.png,2
ch-minute-barchart-33.png,0
ch-minute-barchart-34.png,1
ch-minute-barchart-35.png,2
ch-minute-barchart-36.png,0
ch-minute-barchart-37.png,3
ch-minute-barchart-38.png,2
ch-minute-barchart-40.png,1
ch-minute-barchart-41.png,3
ch-minute-barchart-42.png,1
ch-minute-barchart-43.png,0
ch-minute-barchart-44.png,0
ch-minute-barchart-45.png,0
ch-minute-barchart-46.png,3
ch-minute-barchart-47.png,3
ch-minute-barchart-48.png,2
ch-minute-barchart-50.png,3
ch-minute-barchart-51.png,2
ch-minute-barchart-52.png,0
ch-minute-barchart-53.png,0
ch-minute-barchart-54.png,2
ch-minute-barchart-55.png,3
ch-minute-barchart-56.png,3
ch-minute-barchart-57.png,0
ch-minute-barchart-58.png,0
ch-minute-barchart-60.png,0
ch-minute-barchart-61.png,1
ch-minute-barchart-62.png,3
ch-minute-barchart-63.png,0
ch-minute-barchart-64.png,2
ch-minute-barchart-65.png,3
ch-minute-barchart-66.png,0
ch-minute-barchart-67.png,2
ch-minute-barchart-68.png,1
ch-minute-barchart-70.png,3
ch-minute-barchart-71.png,3
ch-minute-barchart-72.png,1
ch-minute-barchart-73.png,1
ch-minute-barchart-74.png,0
ch-minute-barchart-75.png,2
ch-minute-barchart-76.png,3
ch-minute-barchart-77.png,3
ch-minute-barchart-78.png,1
ch-minute-barchart-80.png,0
ch-minute-barchart-81.png,2
ch-minute-barchart-82.png,0
ch-minute-barchart-83.png,3
ch-minute-barchart-84.png,3
ch-minute-barchart-85.png,0
ch-minute-barchart-86.png,0
ch-minute-barchart-87.png,1
ch-minute-barchart-88.png,3
ch-minute-barchart-90.png,1
ch-minute-barchart-91.png,3
ch-minute-barchart-92.png,3
ch-minute-barchart-93.png,3
ch-minute-barchart-94.png,0
ch-minute-barchart-95.png,0
